name,location,city,P.O Box,Phone,Mobile,company_page_link,Logo url
,"<span itemprop=""streetAddress"">Al Muteena</span>","City : Dubai,  UAE ",56277,Phone : 04-2710103Call,Phone : 04-2710103Call,,
,"<span itemprop=""streetAddress"">Al Twar , Qusais</span>","City : Dubai,  UAE ",55505,Phone : 04-2616336Call,Phone : 04-2616336Call,,
,"<span itemprop=""streetAddress"">Al Arabi Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6545000Call,Phone : 02-6545000Call,,
,"<span itemprop=""streetAddress"">Business Bay</span>","City : Dubai,  UAE ",9623,Phone : 04-3699775Call,Phone : 04-3699775Call,,
,"<span itemprop=""streetAddress"">Behind ADCB Bank, Electra Street</span>","City : Abu Dhabi,  UAE ",105671,Phone : 02-6660178Call,Phone : 02-6660178Call,,
,"<span itemprop=""streetAddress"">Oud Metha</span>","City : Dubai,  UAE ",126624,Phone : 04-3583368Call,Phone : 04-3583368Call,,
,"<span itemprop=""streetAddress"">Salama St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6220068Call,Phone : 02-6220068Call,,
,"<span itemprop=""streetAddress"">Al Qusais 2</span>","City : Dubai,  UAE ",,Phone : 04-2592992Call,Phone : 04-2592992Call,,
,"<span itemprop=""streetAddress"">Bani Yas</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6596666Call,Phone : 02-6596666Call,,
,"<span itemprop=""streetAddress"">Electra St</span>","City : Abu Dhabi,  UAE ",27034,Phone : 02-6310036Call,Phone : 02-6310036Call,,
,"<span itemprop=""streetAddress"">Opp Day to Day, Near Post Office, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3576306Call,Phone : 04-3576306Call,,
,"<span itemprop=""streetAddress"">Al Bateen</span>","City : Abu Dhabi,  UAE ",44044,Phone : 02-6650144Call,Phone : 02-6650144Call,,
,,"City : Dubai,  UAE ",,Phone : 04-3860066Call,Phone : 04-3860066Call,,
,"<span itemprop=""streetAddress"">Bhnd Al Mamzar Bldg, Hor Al Anz East, Deira</span>","City : Dubai,  UAE ",16515,Phone : 04-2977474Call,Phone : 04-2977474Call,,
,"<span itemprop=""streetAddress"">Opp Burjuman Centre, Trade Centre Rd, Karama</span>","City : Dubai,  UAE ",26816,Phone : 04-3963888Call,Phone : 04-3963888Call,,
,"<span itemprop=""streetAddress"">Beach Rotana, Al Zahiyah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6979012Call,Phone : 02-6979012Call,,
,"<span itemprop=""streetAddress"">Crescent Rd, Palm Jumeirah</span>","City : Dubai,  UAE ",211188,Phone : 04-4262626Call,Phone : 04-4262626Call,,
,"<span itemprop=""streetAddress"">Jumeirah Al Etihad Towers, Al Khubeirah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8115555Call,Phone : 02-8115555Call,,
,"<span itemprop=""streetAddress"">Corniche Road</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6390587Call,Phone : 02-6390587Call,,
,"<span itemprop=""streetAddress"">Millenium Tower, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3805833Call,Phone : 04-3805833Call,,
,"<span itemprop=""streetAddress"">Grand Shopping Mall, Al Quoz</span>","City : Dubai,  UAE ",33716,Phone : 04-3388977Call,Phone : 04-3388977Call,,
,"<span itemprop=""streetAddress"">Shop 2, Lake Central Tower, Fakhruddin Properties, Business Bay</span>","City : Dubai,  UAE ",282947,Phone : 04-2753096Call,Phone : 04-2753096Call,,
,"<span itemprop=""streetAddress"">Marina Walk</span>","City : Dubai,  UAE ",114586,Phone : 04-3674040Call,Phone : 04-3674040Call,,
,"<span itemprop=""streetAddress"">Hamdan Street</span>","City : Abu Dhabi,  UAE ",72535,Phone : 02-6353763Call,Phone : 02-6353763Call,,
,"<span itemprop=""streetAddress"">Yas Marina</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4963411Call,Phone : 02-4963411Call,,
,"<span itemprop=""streetAddress"">Ziyani Area</span>","City : Abu Dhabi,  UAE ",35980,Phone : 02-6792679Call,Phone : 02-6792679Call,,
,"<span itemprop=""streetAddress"">Bhnd Arabian Courtyard Hotel, Near Dubai Museum, Bur Dubai</span>","City : Dubai,  UAE ",234480,Phone : 04-3525895Call,Phone : 04-3525895Call,,
,"<span itemprop=""streetAddress"">JLT</span>","City : Dubai,  UAE ",,Phone : 04-3794044Call,Phone : 04-3794044Call,,
,"<span itemprop=""streetAddress"">Next to Sharjah University, Muweilah</span>","City : Sharjah,  UAE ",,Phone : 06-5500816Call,Phone : 06-5500816Call,,
,"<span itemprop=""streetAddress"">318 Road, Near Grand City Mall, Al Quoz</span>","City : Dubai,  UAE ",,Phone : 052-4243516Call,Phone : 052-4243516Call,,
,,"City : Dubai,  UAE ",27680,Phone : 04-2563531Call,Phone : 04-2563531Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6169999Call,Phone : 02-6169999Call,,
,"<span itemprop=""streetAddress"">Al Maktoum St</span>","City : Dubai,  UAE ",,Phone : 04-2221622Call,Phone : 04-2221622Call,,
,"<span itemprop=""streetAddress"">Bhnd Dubai Islamic Bank, National Paints, Al Muweilah</span>","City : Sharjah,  UAE ",,Phone : 06-5356030Call,Phone : 06-5356030Call,,
,"<span itemprop=""streetAddress"">Near Dana Hotel, TCA</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6450003Call,Phone : 02-6450003Call,,
,"<span itemprop=""streetAddress"">Jamal Abdul Naser Rd, Al Majaz</span>","City : Sharjah,  UAE ",,Phone : 06-5444225Call,Phone : 06-5444225Call,,
,"<span itemprop=""streetAddress"">Near UAE Exchange, Rolla Sq</span>","City : Sharjah,  UAE ",20256,Phone : 06-5614393Call,Phone : 06-5614393Call,,
,"<span itemprop=""streetAddress"">Near Al Ansari Exchange, Al Arooba St</span>","City : Sharjah,  UAE ",67993,Phone : 06-5639781Call,Phone : 06-5639781Call,,
,"<span itemprop=""streetAddress"">Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5595660Call,Phone : 06-5595660Call,,
,"<span itemprop=""streetAddress"">Hor Al Anz</span>","City : Dubai,  UAE ",,Phone : 04-2963738Call,Phone : 04-2963738Call,,
,"<span itemprop=""streetAddress"">Passport Rd</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6413690Call,Phone : 02-6413690Call,,
,"<span itemprop=""streetAddress"">Hor Al Anz</span>","City : Dubai,  UAE ",82041,Phone : 04-2681268Call,Phone : 04-2681268Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",28146,Phone : 04-3358788Call,Phone : 04-3358788Call,,
,"<span itemprop=""streetAddress"">Frij Murar, Deira</span>","City : Dubai,  UAE ",89051,Phone : 04-2710532Call,Phone : 04-2710532Call,,
,"<span itemprop=""streetAddress"">Meena Bazar, Bur Dubai</span>","City : Dubai,  UAE ",241473,Phone : 04-3256144Call,Phone : 04-3256144Call,,
,"<span itemprop=""streetAddress"">Behind National Hospital, Najda Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6749901Call,Phone : 02-6749901Call,,
,"<span itemprop=""streetAddress"">Garhoud</span>","City : Dubai,  UAE ",1443,Phone : 04-2828188Call,Phone : 04-2828188Call,,
,,"City : Jebel Ali,  UAE ",,Phone : 04-8523951Call,Phone : 04-8523951Call,,
,"<span itemprop=""streetAddress"">Kempenski Hotel, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-4095888Call,Phone : 04-4095888Call,,
,"<span itemprop=""streetAddress"">Al Dagaya Street</span>","City : Dubai,  UAE ",,Phone : 04-2261383Call,Phone : 04-2261383Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 052-2610444Call,Phone : 052-2610444Call,,
,"<span itemprop=""streetAddress"">Al Nahda 2</span>","City : Dubai,  UAE ",,Phone : 04-2390916Call,Phone : 04-2390916Call,,
,"<span itemprop=""streetAddress"">Al Qasimiya St, Al Ghubaiba</span>","City : Sharjah,  UAE ",,Phone : 06-5676703Call,Phone : 06-5676703Call,,
,"<span itemprop=""streetAddress"">Near Al Sahaba Mosque, TCA</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6459034Call,Phone : 02-6459034Call,,
,"<span itemprop=""streetAddress"">Meena Rd</span>","City : Abu Dhabi,  UAE ",5133,Phone : 02-6766612Call,Phone : 02-6766612Call,,
,"<span itemprop=""streetAddress"">Mussafah</span>","City : Abu Dhabi,  UAE ",8375,Phone : 02-5559923Call,Phone : 02-5559923Call,,
,"<span itemprop=""streetAddress"">One Omniyat Tower, Business Bay</span>","City : Dubai,  UAE ",,Phone : 800245245Call,Phone : 800245245Call,,
,"<span itemprop=""streetAddress"">Al Qusais</span>","City : Dubai,  UAE ",125981,Phone : 04-2592433Call,Phone : 04-2592433Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",4893,Phone : 04-3367111Call,Phone : 04-3367111Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",,Phone : 04-3367111Call,Phone : 04-3367111Call,,
,"<span itemprop=""streetAddress"">Qusais</span>","City : Dubai,  UAE ",20249,Phone : 04-2613415Call,Phone : 04-2613415Call,,
,"<span itemprop=""streetAddress"">Khalidiya</span>","City : Abu Dhabi,  UAE ",32002,Phone : 02-6662288Call,Phone : 02-6662288Call,,
,"<span itemprop=""streetAddress"">Reem Mall, Jumairah Road, Jumairah 3</span>","City : Dubai,  UAE ",333327,Phone : 04-3390444Call,Phone : 04-3390444Call,,
,"<span itemprop=""streetAddress"">Al Mushrif</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6577640Call,Phone : 02-6577640Call,,
,,"City : Dubai,  UAE ",91753,Phone : 04-2565394Call,Phone : 04-2565394Call,,
,"<span itemprop=""streetAddress"">Al Aweer</span>","City : Dubai,  UAE ",94637,Phone : 04-2363114Call,Phone : 04-2363114Call,,
,"<span itemprop=""streetAddress"">Satwa Road</span>","City : Dubai,  UAE ",,Phone : 04-3422070Call,Phone : 04-3422070Call,,
,"<span itemprop=""streetAddress"">Al Mina Rd, Bur Dubai</span>","City : Dubai,  UAE ",33228,Phone : 04-3460111Call,Phone : 04-3460111Call,,
,"<span itemprop=""streetAddress"">Khalifa St</span>","City : Abu Dhabi,  UAE ",44489,Phone : 02-6741286Call,Phone : 02-6741286Call,,
,"<span itemprop=""streetAddress"">Al Garhoud</span>","City : Dubai,  UAE ",,Phone : 04-2288003Call,Phone : 04-2288003Call,,
,"<span itemprop=""streetAddress"">Emirates Palace, Al Ras Al Akhdar</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6907999Call,Phone : 02-6907999Call,,
,"<span itemprop=""streetAddress"">Near Bus Station, Satwa</span>","City : Dubai,  UAE ",24611,Phone : 04-3492162Call,Phone : 04-3492162Call,,
,"<span itemprop=""streetAddress"">Mankhool Road, Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3857977Call,Phone : 04-3857977Call,,
,"<span itemprop=""streetAddress"">Mankhool Rd, Diyafa</span>","City : Dubai,  UAE ",,Phone : 04-3857977Call,Phone : 04-3857977Call,,
,"<span itemprop=""streetAddress"">Near Emarat, Garhoud Bridge Aree, Garhoud</span>","City : Dubai,  UAE ",,Phone : 04-3244334Call,Phone : 04-3244334Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6215234Call,Phone : 02-6215234Call,,
,"<span itemprop=""streetAddress"">Jumeirah Rd</span>","City : Dubai,  UAE ",11449,Phone : 04-3335552Call,Phone : 04-3335552Call,,
,"<span itemprop=""streetAddress"">Bhnd UAE Exchange Centre, Rolla</span>","City : Sharjah,  UAE ",60522,Phone : 06-5612020Call,Phone : 06-5612020Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6264191Call,Phone : 02-6264191Call,,
,"<span itemprop=""streetAddress"">Ibn Batuta Mall</span>","City : Dubai,  UAE ",23684,Phone : 04-3243757Call,Phone : 04-3243757Call,,
,"<span itemprop=""streetAddress"">Electra St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6330068Call,Phone : 02-6330068Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-5524125Call,Phone : 02-5524125Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-5080555Call,Phone : 02-5080555Call,,
,"<span itemprop=""streetAddress"">Khalifa Str</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6146000Call,Phone : 02-6146000Call,,
,"<span itemprop=""streetAddress"">Behind Honda Showroom, Electra Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6745277Call,Phone : 02-6745277Call,,
,"<span itemprop=""streetAddress"">Mussafah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5527176Call,Phone : 02-5527176Call,,
,"<span itemprop=""streetAddress"">Bldg, 28, Near Eppco Pump, Al Qusais Indl Area 4</span>","City : Dubai,  UAE ",,Phone : 04-2838007Call,Phone : 04-2838007Call,,
,"<span itemprop=""streetAddress"">Nakheel Road, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2212797Call,Phone : 04-2212797Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 058-8401212Call,Phone : 058-8401212Call,,
,"<span itemprop=""streetAddress"">Beside Muncipality office, Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3440051Call,Phone : 04-3440051Call,,
,"<span itemprop=""streetAddress"">Zabeel Road, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3583583Call,Phone : 04-3583583Call,,
,"<span itemprop=""streetAddress"">Al Barsha 1</span>","City : Dubai,  UAE ",,Phone : 04-3929932Call,Phone : 04-3929932Call,,
,,"City : Jebel Ali,  UAE ",,Phone : 04-8854330Call,Phone : 04-8854330Call,,
,"<span itemprop=""streetAddress"">Mubarak Al Jafla W/H, Street 12 , Al Quoz Indl Area 2</span>","City : Dubai,  UAE ",,Phone : 04-3285533Call,Phone : 04-3285533Call,,
,"<span itemprop=""streetAddress"">Beach Road, Jumeirah 3</span>","City : Dubai,  UAE ",75232,Phone : 04-3444007Call,Phone : 04-3444007Call,,
,"<span itemprop=""streetAddress"">Damascus St, Al Qusais</span>","City : Dubai,  UAE ",48636,Phone : 04-2511155Call,Phone : 04-2511155Call,,
,"<span itemprop=""streetAddress"">Sahara Center</span>","City : Sharjah,  UAE ",,Phone : 06-5395930Call,Phone : 06-5395930Call,,
,"<span itemprop=""streetAddress"">Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3329505Call,Phone : 04-3329505Call,,
,"<span itemprop=""streetAddress"">Al Qusais</span>","City : Dubai,  UAE ",79328,Phone : 04-2672204Call,Phone : 04-2672204Call,,
,"<span itemprop=""streetAddress"">Khalidiya</span>","City : Abu Dhabi,  UAE ",29128,Phone : 02-6210176Call,Phone : 02-6210176Call,,
,"<span itemprop=""streetAddress"">Oud Metha</span>","City : Dubai,  UAE ",,Phone : 04-3966559Call,Phone : 04-3966559Call,,
,"<span itemprop=""streetAddress"">China H-03, Dubai International City</span>","City : Dubai,  UAE ",,Phone : 04-4475278Call,Phone : 04-4475278Call,,
,"<span itemprop=""streetAddress"">Al Quoz Industrial Area 3</span>","City : Dubai,  UAE ",,Phone : 04-3468448Call,Phone : 04-3468448Call,,
,"<span itemprop=""streetAddress"">Near Cricket Stadium</span>","City : Sharjah,  UAE ",,Phone : 06-5431717Call,Phone : 06-5431717Call,,
,"<span itemprop=""streetAddress"">Bhnd Citymax Hotel, Al Wahda St</span>","City : Sharjah,  UAE ",,Phone : 06-5556070Call,Phone : 06-5556070Call,,
,"<span itemprop=""streetAddress"">Near Madina Mall, Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3415660Call,Phone : 04-3415660Call,,
,"<span itemprop=""streetAddress"">Al Falah St</span>","City : Abu Dhabi,  UAE ",46539,Phone : 02-6416616Call,Phone : 02-6416616Call,,
,"<span itemprop=""streetAddress"">Bhnd of Karama Hotel</span>","City : Dubai,  UAE ",,Phone : 04-3352526Call,Phone : 04-3352526Call,,
,"<span itemprop=""streetAddress"">Najda St</span>","City : Abu Dhabi,  UAE ",37942,Phone : 02-6336633Call,Phone : 02-6336633Call,,
,"<span itemprop=""streetAddress"">Al Barsha</span>","City : Dubai,  UAE ",,Phone : 04-4521717Call,Phone : 04-4521717Call,,
,"<span itemprop=""streetAddress"">Frij Murar, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2730147Call,Phone : 04-2730147Call,,
,"<span itemprop=""streetAddress"">Oman St, Al Nakheel</span>","City : Ras Al Khaimah,  UAE ",812,Phone : 07-2221572Call,Phone : 07-2221572Call,,
,"<span itemprop=""streetAddress"">Near Habtoor Auto Centre, Deira</span>","City : Dubai,  UAE ",236177,Phone : 04-2666024Call,Phone : 04-2666024Call,,
,"<span itemprop=""streetAddress"">Corniche Rd</span>","City : Abu Dhabi,  UAE ",38107,Phone : 02-6505576Call,Phone : 02-6505576Call,,
,"<span itemprop=""streetAddress"">Meena Bazaar, Bur Dubai</span>","City : Dubai,  UAE ",43527,Phone : 04-3522020Call,Phone : 04-3522020Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",23050,Phone : 04-3352526Call,Phone : 04-3352526Call,,
,"<span itemprop=""streetAddress"">Besides Baby Shop, Al Zabel Rd, Karama</span>","City : Dubai,  UAE ",184061,Phone : 04-3548978Call,Phone : 04-3548978Call,,
,"<span itemprop=""streetAddress"">Discovery Gardens</span>","City : Dubai,  UAE ",,Phone : 04-3348030Call,Phone : 04-3348030Call,,
,"<span itemprop=""streetAddress"">Al Muteena Rd, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2727934Call,Phone : 04-2727934Call,,
,"<span itemprop=""streetAddress"">Opp Abdullah Bin Abbas Mosque, King Faisal St</span>","City : Sharjah,  UAE ",,Phone : 06-5744104Call,Phone : 06-5744104Call,,
,"<span itemprop=""streetAddress"">Behind Pizza Hut, Opposite Burjuman Centre, Al Karama</span>","City : Dubai,  UAE ",49612,Phone : 04-3966885Call,Phone : 04-3966885Call,,
,"<span itemprop=""streetAddress"">Amman Rd, Al Nahda 2</span>","City : Dubai,  UAE ",,Phone : 04-2637482Call,Phone : 04-2637482Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3979481Call,Phone : 04-3979481Call,,
,"<span itemprop=""streetAddress"">Al Rigga</span>","City : Dubai,  UAE ",,Phone : 04-2131221Call,Phone : 04-2131221Call,,
,"<span itemprop=""streetAddress"">Al Wasl Road</span>","City : Dubai,  UAE ",,Phone : 600 544005Call,Phone : 600 544005Call,,
,"<span itemprop=""streetAddress"">Shop 1, Block 1, Wasl Square, Opposite Safa Park, Al Wasl Road, Al Safa</span>","City : Dubai,  UAE ",,Phone : 04-3884411Call,Phone : 04-3884411Call,,
,"<span itemprop=""streetAddress"">Rashidiya</span>","City : Dubai,  UAE ",52546,Phone : 04-2863660Call,Phone : 04-2863660Call,,
,"<span itemprop=""streetAddress"">Saadiyat Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4988888Call,Phone : 02-4988888Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-4515982Call,Phone : 04-4515982Call,,
,"<span itemprop=""streetAddress"">Mussafah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5508900Call,Phone : 02-5508900Call,,
,"<span itemprop=""streetAddress"">Lamcy Plaza, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3584584Call,Phone : 04-3584584Call,,
,"<span itemprop=""streetAddress"">Crown Plaza, Al Markaziyah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6166261Call,Phone : 02-6166261Call,,
,"<span itemprop=""streetAddress"">Khalidiya St</span>","City : Abu Dhabi,  UAE ",52100,Phone : 02-6665512Call,Phone : 02-6665512Call,,
,,"City : Abu Dhabi,  UAE ",52100,Phone : 02-6665512Call,Phone : 02-6665512Call,,
,"<span itemprop=""streetAddress"">Backside of Deira Towers</span>","City : Dubai,  UAE ",,Phone : 04-2266103Call,Phone : 04-2266103Call,,
,"<span itemprop=""streetAddress"">Ground floor, Ramada Chelsea Hotel, Al Barsha</span>","City : Dubai,  UAE ",,Phone : 04-5019000Call,Phone : 04-5019000Call,,
,"<span itemprop=""streetAddress"">406, Sobha Ivory 2, Business Bay</span>","City : Dubai,  UAE ",,Phone : 04-5514134Call,Phone : 04-5514134Call,,
,"<span itemprop=""streetAddress"">Opposite Aster Hospital, Near Sharaf DG, Kuwait Street, Mankhool</span>","City : Dubai,  UAE ",,Phone : 04-4489590Call,Phone : 04-4489590Call,,
,"<span itemprop=""streetAddress"">Nuaimiyah</span>","City : Ajman,  UAE ",,Phone : 06-7419876Call,Phone : 06-7419876Call,,
,"<span itemprop=""streetAddress"">Bhnd Choitram S/M, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5554515Call,Phone : 06-5554515Call,,
,"<span itemprop=""streetAddress"">Al Talal Building, Bhnd Sahara Centre, Al Nahda</span>","City : Dubai,  UAE ",,Phone : 04-2669277Call,Phone : 04-2669277Call,,
,"<span itemprop=""streetAddress"">Silver Tower, Business Bay</span>","City : Dubai,  UAE ",,Phone : 055-3151234Call,Phone : 055-3151234Call,,
,"<span itemprop=""streetAddress"">Opp Centrepoint, Bhnd Pizzahut, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3977223Call,Phone : 04-3977223Call,,
,"<span itemprop=""streetAddress"">Near Farimont Hotel, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3425571Call,Phone : 04-3425571Call,,
,,"City : Dubai,  UAE ",,Phone : 04-2238038Call,Phone : 04-2238038Call,,
,"<span itemprop=""streetAddress"">Near Main Gate, Jebel Ali Free Zone</span>","City : Jebel Ali,  UAE ",16837,Phone : 04-8818522Call,Phone : 04-8818522Call,,
,"<span itemprop=""streetAddress"">Deira City Centre</span>","City : Dubai,  UAE ",1277,Phone : 04-2948442Call,Phone : 04-2948442Call,,
,"<span itemprop=""streetAddress"">Yas Marina, Yas Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5650101Call,Phone : 02-5650101Call,,
,"<span itemprop=""streetAddress"">Garhoud</span>","City : Dubai,  UAE ",3929,Phone : 04-2947771Call,Phone : 04-2947771Call,,
,"<span itemprop=""streetAddress"">Crown Plaza, Yas Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6563066Call,Phone : 02-6563066Call,,
,"<span itemprop=""streetAddress"">Near Real Cinemas. The Dubai Mall</span>","City : Dubai,  UAE ",,Phone : 04-3308152Call,Phone : 04-3308152Call,,
,"<span itemprop=""streetAddress"">Al Markaziyah</span>","City : Abu Dhabi,  UAE ",,Phone : 800 101101Call,Phone : 800 101101Call,,
,"<span itemprop=""streetAddress"">Mina Rd</span>","City : Abu Dhabi,  UAE ",48324,Phone : 02-6723321Call,Phone : 02-6723321Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6760675Call,Phone : 02-6760675Call,,
,"<span itemprop=""streetAddress"">Ibis Hotel, 2nd Zabeel Road</span>","City : Dubai,  UAE ",,Phone : 04-3187130Call,Phone : 04-3187130Call,,
,"<span itemprop=""streetAddress"">Blk 7, Food Court, Knowledge Village</span>","City : Dubai,  UAE ",502936,Phone : 04-3644545Call,Phone : 04-3644545Call,,
,"<span itemprop=""streetAddress"">Times Square Centre, Sh zayed road</span>","City : Dubai,  UAE ",,Phone : 04-3418808Call,Phone : 04-3418808Call,,
,"<span itemprop=""streetAddress"">Jumeira Lake Tower</span>","City : Dubai,  UAE ",27888,Phone : 04-4327999Call,Phone : 04-4327999Call,,
,"<span itemprop=""streetAddress"">Jumeira Lake Tower</span>","City : Dubai,  UAE ",,Phone : 04-4484648Call,Phone : 04-4484648Call,,
,"<span itemprop=""streetAddress"">418 University City Rd, Ind Area 13</span>","City : Dubai,  UAE ",,Phone : 04-3446084Call,Phone : 04-3446084Call,,
,"<span itemprop=""streetAddress"">Shop MW 18, Festival City Mall</span>","City : Dubai,  UAE ",,Phone : 04-2843456Call,Phone : 04-2843456Call,,
,"<span itemprop=""streetAddress"">2nd Floor Dubai Mall Food Court, Downtown Burj Khalifa</span>","City : Dubai,  UAE ",52546,Phone : 04-4340755Call,Phone : 04-4340755Call,,
,,"City : Dubai,  UAE ",,Phone : 04-4370188Call,Phone : 04-4370188Call,,
,"<span itemprop=""streetAddress"">Near Park Regis Kris Kin Hotel, Kuwait Street, Al Karama</span>","City : Dubai,  UAE ",52119,Phone : 04-3967222Call,Phone : 04-3967222Call,,
,"<span itemprop=""streetAddress"">opposite Zabeel Park, Near Karama Fish Market, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3709377Call,Phone : 04-3709377Call,,
,"<span itemprop=""streetAddress"">Muroor Rd</span>","City : Abu Dhabi,  UAE ",95526,Phone : 02-4482343Call,Phone : 02-4482343Call,,
,"<span itemprop=""streetAddress"">Trade Cntre 1, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 056-4457526Call,Phone : 056-4457526Call,,
,"<span itemprop=""streetAddress"">Near Sharjah Cinema, Al Marija St</span>","City : Sharjah,  UAE ",28405,Phone : 06-5681823Call,Phone : 06-5681823Call,,
,"<span itemprop=""streetAddress"">Baniyas Rd, Deira</span>","City : Dubai,  UAE ",476,Phone : 04-2057033Call,Phone : 04-2057033Call,,
,"<span itemprop=""streetAddress"">Opp Sharjah Grand Hotel, Port Khalid, Al Khan</span>","City : Sharjah,  UAE ",6006,Phone : 06-5281321Call,Phone : 06-5281321Call,,
,"<span itemprop=""streetAddress"">Dubai Mall Food Court, Downtown Burj Khalifa</span>","City : Dubai,  UAE ",523,Phone : 04-3308063Call,Phone : 04-3308063Call,,
,"<span itemprop=""streetAddress"">Ground Floor, Building # 10, BBC Building, Dubai Media City</span>","City : Dubai,  UAE ",57360,Phone : 04-3911041Call,Phone : 04-3911041Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",26438,Phone : 02-6321566Call,Phone : 02-6321566Call,,
,"<span itemprop=""streetAddress"">Al Khaleej Rd, Abu Hail</span>","City : Dubai,  UAE ",,Phone : 04-2685685Call,Phone : 04-2685685Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",45863,Phone : 04-3932112Call,Phone : 04-3932112Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Road</span>","City : Dubai,  UAE ",,Phone : 04-3466292Call,Phone : 04-3466292Call,,
,"<span itemprop=""streetAddress"">Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2678080Call,Phone : 04-2678080Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",26195,Phone : 04-3575838Call,Phone : 04-3575838Call,,
,"<span itemprop=""streetAddress"">Grand Hyatt Hotel, Sheikh Rashid Rd, Bur Dubai</span>","City : Dubai,  UAE ",7978,Phone : 04-3172222Call,Phone : 04-3172222Call,,
,"<span itemprop=""streetAddress"">Al Khalidiya</span>","City : Abu Dhabi,  UAE ",,Phone : 600 520007Call,Phone : 600 520007Call,,
,"<span itemprop=""streetAddress"">Dubai Media City</span>","City : Dubai,  UAE ",,Phone : 04-3751095Call,Phone : 04-3751095Call,,
,"<span itemprop=""streetAddress"">Holiday Inn, Al Barsha, next to Mall of the Emirates</span>","City : Dubai,  UAE ",115443,Phone : 04-3234333Call,Phone : 04-3234333Call,,
,"<span itemprop=""streetAddress"">Garhoud</span>","City : Dubai,  UAE ",77671,Phone : 04-2829908Call,Phone : 04-2829908Call,,
,"<span itemprop=""streetAddress"">Murgan 1 Bldg, Near Al Ansari Exch, JBR</span>","City : Dubai,  UAE ",333581,Phone : 04-4370178Call,Phone : 04-4370178Call,,
